,,tc,tc,tc,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,target,,,,,,,,,,,,,,,,,,
0.001,species:Iris-setosa,[1.1689912802359406],[1.0302049892967804],[1.0749367917346002],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.001,species:Iris-versicolor,[1.1689912802359406],[1.0302049892967804],[1.0749367917346002],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.001,species:Iris-virginica,[1.1689912802359406],[1.0302049892967804],[1.0749367917346002],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.051000000000000004,species:Iris-setosa,[1.1670093747573005],[0.0419643810056255],[0.11595403916651408],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.36363636363636365],[0.36363636363636365],[0.36363636363636365],[0.5],[0.5],[0.5],[14],[14],[14.0],[8],[8],[8.0]
0.051000000000000004,species:Iris-versicolor,[1.1670093747573005],[0.0419643810056255],[0.11595403916651408],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.051000000000000004,species:Iris-virginica,[1.1670093747573005],[0.0419643810056255],[0.11595403916651408],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.101,species:Iris-setosa,[1.1243032075953214],[0.03826803516486937],[0.07938086510181312],[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.36363636363636365],[0.36363636363636365],[0.36363636363636365],[0.5],[0.5],[0.5],[14],[14],[14.0],[8],[8],[8.0]
0.101,species:Iris-versicolor,[1.1243032075953214],[0.03826803516486937],[0.07938086510181312],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
