,,tc,tc,tc,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,target,,,,,,,,,,,,,,,,,,
0.001,species:Iris-setosa,[29.342618711377042],[18.716171253400343],[20.79648085917079],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.001,species:Iris-versicolor,[29.342618711377042],[18.716171253400343],[20.79648085917079],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.001,species:Iris-virginica,[29.342618711377042],[18.716171253400343],[20.79648085917079],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.051000000000000004,species:Iris-setosa,[29.411366995308946],[0.8759645499935503],[2.9841577572371034],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.051000000000000004,species:Iris-versicolor,[29.411366995308946],[0.8759645499935503],[2.9841577572371034],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.051000000000000004,species:Iris-virginica,[29.411366995308946],[0.8759645499935503],[2.9841577572371034],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.101,species:Iris-setosa,[27.173261296425974],[0.7651407005505788],[2.0400032263319408],[0.03333333333333333],[0.03333333333333333],[0.03333333333333333],[0.045454545454545456],[0.045454545454545456],[0.045454545454545456],[0.1111111111111111],[0.1111111111111111],[0.1111111111111111],[21],[21],[21.0],[8],[8],[8.0]
0.101,species:Iris-versicolor,[27.173261296425974],[0.7651407005505788],[2.0400032263319408],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.101,species:Iris-virginica,[27.173261296425974],[0.7651407005505788],[2.0400032263319408],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
