,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[10.09520707365144],[3.436330641460276],[5.306869504750912],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[0.6333333333333333],[0.6333333333333333],[0.6333333333333333],[0.8636363636363636],[0.8636363636363636],[0.8636363636363636],[0.7037037037037037],[0.7037037037037037],[0.7037037037037037],[3],[3],[3.0],[8],[8],[8.0]
0.051000000000000004,[9.368504702192077],[0.1449003662713682],[0.5186707173854005],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.101,[8.821434276336023],[0.08172211430047109],[0.31282301564895043],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.15100000000000002,[9.172991897900351],[0.058371375095258894],[0.23356966638066862],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.201,[8.598180119341748],[0.04581025191782475],[0.1850228389955791],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.251,[9.148796027319005],[0.038004473410535165],[0.15949119390443392],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.30100000000000005,[7.554357228651372],[0.03258383330786842],[0.13504924063299778],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.35100000000000003,[8.21633583956195],[0.028705197473051447],[0.12165030024252865],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.401,[7.505804192488702],[0.025522531536961338],[0.10809270368328437],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.451,[7.4530859032907975],[0.023158888224573387],[0.09939679084201127],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.501,[6.921087478418581],[0.02114369345123184],[0.09073226867375053],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.551,[7.47088477838378],[0.01942452342465075],[0.08542261570171168],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.6010000000000001,[7.192749730145991],[0.01806811695072805],[0.07990681376486643],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.651,[6.706694705339293],[0.016897937743498365],[0.0743568133064738],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
