,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,false_positive,false_positive,false_positive,false_negative,false_negative,false_negative
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[9.669704608524016],[7.270892145446335],[7.345115711361051],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[22],[22],[22.0],[8],[8],[8.0]
0.051000000000000004,[9.854986073106964],[0.024404530464615517],[0.966223300999282],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.101,[9.818623918460208],[0.009698033173720606],[0.6287482784679848],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.15100000000000002,[9.631023891286612],[0.003571215669938554],[0.2988526706242186],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.201,[8.806317060395392],[0.002479073954890248],[0.20358153930983275],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.251,[8.184294527665418],[0.0028888989133000957],[0.2102087450595087],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.30100000000000005,[8.140453555252538],[0.0021954742323882573],[0.1659054545375258],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.35100000000000003,[7.641849539890328],[0.001917308916169042],[0.13983622448116803],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.401,[7.7077915402960935],[0.002564969641258459],[0.13384335139551629],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.451,[7.57444597629357],[0.0015832512880882312],[0.1023702087486894],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.501,[7.42815467584739],[0.0011971175274295555],[0.10009194314004273],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.551,[7.3517648040310855],[0.0010756096564295138],[0.0726610366443227],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.6010000000000001,[7.277785523755134],[0.0009675794818521352],[0.08062103772714747],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
0.651,[7.269817398604996],[0.0006888690017056493],[0.08242218168281995],species:Iris-setosa,species:Iris-setosa,species:Iris-setosa,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[0],[0],[0.0],[0],[0],[0.0]
