,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[9.205337958614802],[6.761684319786858],[7.106278237415252],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.03333333333333333],[0.03333333333333333],[0.03333333333333333],[0.05],[0.05],[0.05],[0.09090909090909091],[0.09090909090909091],[0.09090909090909091],[19],[19],[19.0],[10],[10],[10.0]
0.051000000000000004,[8.626300112329055],[5.143356645312525],[5.408396202680764],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.101,[8.423187520699535],[5.11138788573622],[5.271891777032564],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.15100000000000002,[8.340943669010423],[5.108580656397534],[5.218284636817059],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.201,[8.225685105434987],[5.108610264781077],[5.187811966915968],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.251,[8.480928590735193],[5.108916745556496],[5.174342957078456],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.30100000000000005,[7.892409942669455],[5.109252265339725],[5.162535641034096],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.35100000000000003,[7.844181898635588],[5.109594778483102],[5.155086181866381],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.401,[7.803602430655356],[5.109942356924185],[5.1495347590533065],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.451,[7.789041716881594],[5.11029492335391],[5.146225346350934],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.501,[7.931592655339746],[5.110652590855437],[5.14428813929822],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.551,[8.084862141461572],[5.111015494270436],[5.141666385416451],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.6010000000000001,[7.54393049964757],[5.111383774452057],[5.138608026110358],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
0.651,[7.857629836486226],[5.111757576903814],[5.138105433191709],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.3],[0.3],[0.3],[0.4],[0.4],[0.4],[0.47058823529411764],[0.47058823529411764],[0.47058823529411764],[12],[12],[12.0],[9],[9],[9.0]
