,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,false_positive,false_positive,false_positive,false_negative,false_negative,false_negative
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[10.11008404980104],[7.15485553329874],[7.238675137803988],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[20],[20],[20.0],[10],[10],[10.0]
0.051000000000000004,[9.521968563768787],[0.41405537445168744],[3.461547684628382],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.101,[9.284388697517633],[0.35886051176819395],[2.4297110955587327],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.15100000000000002,[9.255161745830197],[0.3454393569083718],[1.1910638791973804],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.201,[9.465450673514784],[0.34127825398725437],[1.2561796552523095],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.251,[7.803042028930053],[0.33868979891461404],[1.2359738624577394],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.30100000000000005,[8.096448372590423],[0.33610515967210947],[0.9241706899333896],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.35100000000000003,[7.537155709610679],[0.331837539469694],[0.969993107617765],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.401,[7.738916552766224],[0.33220276346372957],[0.7199255059951272],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8],[0.8],[0.8],[0.85],[0.85],[0.85],[0.85],[0.85],[0.85],[3],[3],[3.0],[3],[3],[3.0]
0.451,[7.419577490115203],[0.31704403495942335],[1.0249804005241845],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.9],[0.9],[0.9],[0.8571428571428571],[0.8571428571428571],[0.8571428571428571],[2],[2],[2.0],[3],[3],[3.0]
0.501,[7.31668548518476],[0.30599577543981005],[0.7063676112988844],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.9],[0.9],[0.9],[0.8571428571428571],[0.8571428571428571],[0.8571428571428571],[2],[2],[2.0],[3],[3],[3.0]
0.551,[7.234165341963541],[0.3209400151876505],[0.6212850224634185],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.9],[0.9],[0.9],[0.8571428571428571],[0.8571428571428571],[0.8571428571428571],[2],[2],[2.0],[3],[3],[3.0]
0.6010000000000001,[7.215734434482542],[0.3054940512126981],[0.6210416617543028],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.9],[0.9],[0.9],[0.8571428571428571],[0.8571428571428571],[0.8571428571428571],[2],[2],[2.0],[3],[3],[3.0]
0.651,[7.2467917765168215],[0.3156742733377639],[0.5707404139131842],species:Iris-versicolor,species:Iris-versicolor,species:Iris-versicolor,[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.9],[0.9],[0.9],[0.8571428571428571],[0.8571428571428571],[0.8571428571428571],[2],[2],[2.0],[3],[3],[3.0]
