,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,falso_positivo,falso_positivo,falso_positivo,falso_negativo,falso_negativo,falso_negativo
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[8.064012404571567],[4.653362681969765],[5.744599835315547],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.26666666666666666],[0.26666666666666666],[0.26666666666666666],[0.4444444444444444],[0.4444444444444444],[0.4444444444444444],[0.4],[0.4],[0.4],[10],[10],[10.0],[12],[12],[12.0]
0.051000000000000004,[8.148971614998308],[1.093558821533691],[1.7716118700013703],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.5666666666666667],[0.5666666666666667],[0.5666666666666667],[0.5555555555555556],[0.5555555555555556],[0.5555555555555556],[0.6666666666666666],[0.6666666666666666],[0.6666666666666666],[8],[8],[8.0],[5],[5],[5.0]
0.101,[8.328696835095137],[0.8157271689862888],[1.3548271820909772],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7],[0.7],[0.7],[0.7222222222222222],[0.7222222222222222],[0.7222222222222222],[0.7647058823529411],[0.7647058823529411],[0.7647058823529411],[5],[5],[5.0],[4],[4],[4.0]
0.15100000000000002,[7.639827712610776],[0.694945435821266],[1.1491998420600018],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7],[0.7],[0.7],[0.7222222222222222],[0.7222222222222222],[0.7222222222222222],[0.7647058823529411],[0.7647058823529411],[0.7647058823529411],[5],[5],[5.0],[4],[4],[4.0]
0.201,[7.795260852282234],[0.6253128715499269],[1.025930890012489],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.251,[7.93829874109899],[0.5797204751655957],[0.9419706431155431],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.30100000000000005,[7.5394195132557424],[0.5468302920076215],[0.878314267479971],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.35100000000000003,[7.804068715624927],[0.5221479315144111],[0.8306501099348615],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.401,[7.24244384091189],[0.5027754430313142],[0.7911354535423895],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.451,[7.351517153710751],[0.48709294721588847],[0.7569291680003772],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.501,[7.021493337770579],[0.47417760552344557],[0.7297213977441411],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.551,[7.312702123520107],[0.46333490058556087],[0.7061389644483658],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.6010000000000001,[7.177309878795663],[0.4541399130334682],[0.6859321031639884],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.651,[6.9086190784245884],[0.4461365265171059],[0.6663475396775573],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
