,tc,tc,tc,target,target,target,acc,acc,acc,p,p,p,r,r,r,false_positive,false_positive,false_positive,false_negative,false_negative,false_negative
,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr,max,min,avr
lr,,,,,,,,,,,,,,,,,,,,,
0.001,[9.94118293672072],[6.251841913630445],[6.806545495050833],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[18],[18],[18.0],[12],[12],[12.0]
0.051000000000000004,[9.0680571386375],[0.4348951963283169],[1.1686574812202295],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.7666666666666667],[0.7666666666666667],[0.7666666666666667],[0.7777777777777778],[0.7777777777777778],[0.7777777777777778],[0.8235294117647058],[0.8235294117647058],[0.8235294117647058],[4],[4],[4.0],[3],[3],[3.0]
0.101,[9.480228544436233],[0.3757203769051113],[0.7352697734219824],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.15100000000000002,[9.021137030634934],[0.362877226774965],[0.6286114947387295],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.201,[8.48783221099835],[0.35690287664209197],[0.544298722716625],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.251,[8.614212207658351],[0.35439398606898254],[0.5030501394572479],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.30100000000000005,[8.3335704913713],[0.35093704209318993],[0.509953214144929],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.35100000000000003,[8.005360272320962],[0.350154561755374],[0.47432752647430454],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.401,[7.862412356235511],[0.3478458355734555],[0.4577811585725571],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.451,[7.547366762845517],[0.3477552947800867],[0.4400622342920263],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.501,[7.48983155134982],[0.34754585562452217],[0.4256698609611243],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.551,[7.457832854305449],[0.34746629361269504],[0.4305888362112681],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.6010000000000001,[7.383539675968166],[0.3471752950435443],[0.42364963467109973],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
0.651,[7.283908561294364],[0.34628382903717186],[0.40980047919225326],species:Iris-virginica,species:Iris-virginica,species:Iris-virginica,[0.8],[0.8],[0.8],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[0.8333333333333334],[3],[3],[3.0],[3],[3],[3.0]
